reference,sex_binary,aims_ancestry,aims_heterozygosity,tarsus.length,tail.length,wing.cord,kipps,distal,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,t5_spring40
CI06H07,1,0.1015228426,0.1493836113,28.6,66,95,28.7,55.5,16,1.031468531,248,274,95.9694439,1
CI06H08,1,0.4299781182,0.5652808169,27.9,67,95,27.8,54.5,16,1.11827957,248,NA,NA,0
CI06H09,1,0.2666195191,0.297029703,27.1,67,95,31.3,55.1,16,1.394833948,248,259,95.9694439,0
CI06H10,1,0.232079489,0.3591199432,27.5,70,97,30,57.3,17,1.167272727,248,264,120.5847585,0
CI06H11,1,0.06144393241,0.089093702,29.8,66,96,29.6,56.9,14,1.120805369,248,NA,NA,0
CI07H01,1,0.7536454336,0.3561013047,28.8,74,95,30.4,54.4,14,1.059027778,249,276,191.8735431,0
CI07H02,1,0.6716147719,0.546705286,29,68,95,29.4,66.5,15,1.062068966,249,NA,NA,0
CI07H03,0,0.4008,0.4896,27.2,67,95,27.3,53.5,15,1.033088235,249,259,189.3982671,0
CI07H04,1,0.6498194946,0.5935018051,27.6,70,94,28.4,54.6,15,1.086956522,249,NA,NA,0
CI09H01,1,0.05975327679,0.09791827294,27.1,69,98,31.7,59.5,18,1.088560886,251,NA,NA,0
CI09H02,1,0.6791845494,0.5329041488,29.8,71,97,27.1,55.4,17,1.043624161,251,264,189.3982671,0
CI09H03,0,0.35218034,0.5314116778,28.2,65,92,29.1,54.1,16,1.042553191,251,266,124.6896071,0
CI09H04,1,0.2930007446,0.417721519,27.5,69,96,27.9,56.9,16,1.294545455,251,267,137.9838,1
CI09H05,1,0.2891777934,0.3534785664,28.1,67,95,27.5,57,15,1.09252669,251,269,76.75789545,0
CI09H06,1,0.3819188192,0.452398524,27.2,69,96,30.5,58,15,1.334558824,251,NA,NA,0
CI09H07,1,0.1818510484,0.2393347795,27.9,73,96,29.7,59.6,14,0.9677419355,251,268,84.1399332,0
CI09H08,0,0.1161809816,0.1602760736,27.3,66,92,29.3,54.3,15,1.04029304,251,279,161.5504186,0
DH27H01,1,0.1582002903,0.2714078374,27.9,70,99,33.9,64,16,1.11827957,238,262,105.0084614,0
DH27H02,1,0.0514201763,0.09696376102,27.3,71,98,31.5,61.6,15,1.076923077,238,260,137.9838,0
DH27H03,0,0.9679230152,0.04971932638,26.1,69,91,27.2,57.6,15,1.111111111,238,252,189.3982671,0
DH27H04,1,0.3242857143,0.4428571429,27.1,68,95,29.9,59.7,15,1.121771218,238,255,84.1399332,1
DH27H05,0,0.5275103164,0.4607977992,28.2,69,93,28.3,58.5,15,1.024822695,238,255,130.8885936,0
DH27H06,1,0.5518092105,0.6529605263,27.5,69,99,32.9,58.6,18,1.12,238,262,179.856459,0
DH27H07,1,0.4212598425,0.6349319971,29.5,74,101,32.4,65.2,15,1,238,NA,NA,0
DH27H08,0,0.5853230337,0.6425561798,29.9,67,93,28.9,56.8,16,1.023411371,238,NA,NA,0
DH27H09,0,0.2976939203,0.3298392732,27.3,67,94,27.9,57.5,16,1.076923077,238,NA,NA,0
DH27H10,1,0.447091801,0.6531184303,27.9,61,97,30,57.8,18,1.086021505,238,270,137.9838,1
DH27H11,0,0.184302733,0.2298528381,27,71,98,32.9,63.8,16,1.088888889,238,260,84.1399332,1
DH27H12,1,0.4538626609,0.6087267525,27.2,68,97,29.6,60.5,16,1.080882353,238,268,161.5504186,0
DH27H13,1,0.0824964132,0.1147776184,28.5,71,96,30.6,64,14,1.077192982,238,270,84.1399332,1
DH28H01,0,0.4848056537,0.6628975265,26.9,66,92,28,58.7,15,1.104089219,239,260,176.960023,1
DH28H02,1,0.9413559322,0.08881355932,29.8,69,95,NA,59,17,1.137583893,239,249,189.3982671,1
DH28H03,1,0.4538024165,0.5735607676,29.2,70,99,31.6,60.2,17,0.9965753425,239,258,149.4931186,0
DH28H04,1,0.492942837,0.4537755822,28.1,70,97,29.8,59.1,17,1.170818505,239,258,75.88779729,0
DH28H05,1,0.6054258242,0.5322802198,28.3,70,96,28.8,59.4,17,1.045936396,239,268,113.3367831,0
DH28H06,1,0.136299435,0.2005649718,27.8,70,100,32.1,64.9,15,1.021582734,239,255,95.9694439,1
DH28H07,1,0.7408304498,0.4629757785,28,68,97,28.1,59.5,17,1.007142857,239,257,212.6083114,1
DH28H08,1,0.4739285714,0.3821428571,28.7,74,100,31,62.7,17,1.118466899,239,258,115.4441427,0
DH28H09,0,0.5158075601,0.4144329897,29.4,68,94,29,59.3,16,1,239,263,179.856459,0
DH28H10,1,0.5778533636,0.6553287982,29.2,76,100,31,62.3,17,1.102739726,239,254,137.9838,1
DH28H11,0,0.3709902371,0.4170153417,27.6,67,92,28.9,57.2,18,1.036231884,239,NA,NA,0
DH28H12,1,0.6466060182,0.6158152554,26.9,66,90,29.4,56,15,1.048327138,239,NA,NA,1
DH28H13,1,0.1715721464,0.3086862886,29.5,70,100,30.7,62.2,17,1.033898305,239,NA,NA,0
DH28H14,1,0.9303840878,0.1186556927,29.2,67,92,26.7,59,15,0.9726027397,239,252,189.3982671,0
DH28H16,1,0.09529065489,0.136129507,27.7,69,97,31,59.9,16,1.194945848,239,259,84.1399332,0
DH28H17,1,0.05486008837,0.09057437408,28.3,69,97,31.9,61.4,16,1.074204947,239,259,84.1399332,0
DH28H18,1,0.7402985075,0.4611940299,28.9,67,95,28.2,58.2,14,1.121107266,239,261,179.856459,0
DH28H19,1,0.08106116433,0.134119381,27.8,70,98,30.6,62.2,15,1.197841727,239,254,161.5504186,0
DH29H01,1,0.1958393113,0.2209469154,27.7,64,93,29.6,60,13,0.9711191336,240,266,114.4689255,1
DH29H02,0,0.2517482517,0.404040404,28.8,65,94,28.5,58.1,14,1.0625,240,260,105.0084614,1
DH29H03,1,0.3639215686,0.4219607843,28,70,100,32.9,66.4,13,1.089285714,240,273,179.856459,0
DH29H04,0,0.8563573883,0.2336769759,29.8,66,91,27.8,58.6,14,0.9630872483,240,NA,NA,0
DH29H05,1,0.645,0.5142857143,27.3,72,99,30.4,63.1,16,1.161172161,240,264,149.4931186,0
DH29H06,1,0.07692307692,0.1135873472,26.7,69,95,27.8,61.6,15,1.138576779,240,255,124.6896071,1
DH29H07,0,0.1946536145,0.3049698795,27,67,95,29.6,59.7,16,1.033333333,240,NA,NA,1
DH29H08,1,0.4919117647,0.5808823529,29.8,70,98,30.1,59.7,17,NA,240,264,176.960023,0
DH29H09,1,0.5,0.4509803922,29.5,73,100,30.5,61.3,16,1.084745763,240,NA,NA,0
DH29H10,1,0.5796703297,0.3214285714,29,69,96,30.6,60,15,1.037931034,240,264,193.5552107,1
DH29H11,1,0.4343683839,0.2533521524,27.3,69,95,26,60,15,1.032967033,240,260,120.5847585,1
DH29H12,1,0.3835187761,0.4179415855,28.7,69,96,28,60.5,15,1.059233449,240,256,117.1075716,0
DH29H13,0,0.1459802539,0.215796897,26.6,67,94,29.4,59.7,16,1.135338346,240,258,137.9838,0
DH29H14,1,0.06232193732,0.09472934473,28.2,73,99,30.6,62.1,18,1.060283688,240,243,76.75789545,1
DH29H15,1,0.3603311735,0.5608351332,28.3,69,97,31.5,59.8,17,1.106007067,240,257,130.8885936,0
DH29H16,1,0.1041968162,0.1664254703,28.4,69,97,32,59.3,15,1.14084507,240,258,84.1399332,1
DH30H01,1,0.1991051454,0.2445935869,26.9,70,98,29.6,59.7,17,1.256505576,241,268,130.8885936,0
DH30H02,1,0.2803085966,0.3695811903,29.1,64,94,30.6,59.1,13,0.8109965636,241,243,76.75789545,0
DH30H03,1,0.03895131086,0.065917603,28,72,95,29.3,57.6,17,1.128571429,241,262,105.0084614,0
DH30H04,1,0.3355654762,0.5104166667,28.7,69,99,32.8,63,14,1.045296167,241,NA,NA,0
DH30H05,1,0.09442836469,0.1208393632,28.7,69,98,30.9,60.6,17,1.069686411,241,263,161.5504186,1
DH30H06,0,0.3587424634,0.4211886305,28,68,92,31.1,56,16,1.007142857,241,261,137.9838,0
DH30H07,1,0.1058601134,0.2003780718,28.4,66,94,30,60,13,1.095070423,241,NA,NA,0
DH30H08,1,0.9404545455,0.05909090909,27.2,67,92,29.1,57.6,16,0.9852941176,241,253,179.856459,0
DH30H09,1,0.01802884615,0.0328525641,27.3,64,95,29.8,63,14,1.102564103,241,255,70.54108052,0
DH30H10,1,0.03546712803,0.0553633218,27.2,72,99,31.8,62,16,1.066176471,241,256,124.6896071,0
DH30H11,1,0.06277372263,0.103649635,28.5,69,96,29.8,60.7,15,0.9859649123,241,NA,NA,0
DH30H13,1,0.1244427935,0.1939078752,28.7,70,100,29.1,63.2,17,1,241,264,137.9838,0
DH30H14,1,0.07810218978,0.1182481752,28,69,93,28.3,57.9,16,1.092857143,241,NA,NA,0
DH30H15,1,0.204,0.1665454545,27.3,70,95,27.6,59,17,1.113553114,241,251,130.8885936,0
DH30H16,1,0.2685045317,0.2832326284,28.8,71,99,32,63.6,16,1.211805556,241,NA,NA,0
DH30H17,1,0.06341107872,0.0860058309,26.5,69,94,31.2,60.1,14,1.18490566,241,NA,NA,0
DH30H18,1,0.198212408,0.3396424816,27.6,70,100,34.2,61.3,17,1.210144928,241,258,95.9694439,0
DH31H01,0,0.3892682927,0.5404878049,26.8,68,90,24.6,56.5,16,1.115671642,242,260,149.4931186,0
DH31H02,1,0.09017595308,0.1363636364,28.2,70,98,31.6,60.6,17,1.113475177,242,261,161.5504186,0
DH31H03,0,0.386134068,0.2029384757,24.8,66,92,29.7,60,15,1.064516129,242,260,105.0084614,0
DH31H04,1,0.2874136608,0.4551036071,30,69,95,27,61.5,15,1.076666667,242,NA,NA,1
DH31H05,1,0.5526315789,0.4020467836,29.6,68,96,30.4,62.7,13,1.040540541,242,262,137.9838,0
DH31H06,1,0.7833817126,0.3229317852,28.7,74,99,30.3,63.6,16,1.097560976,242,263,190.7352706,0
DH31H07,1,0.06158357771,0.09530791789,29.1,68,98,32.4,63,16,1.075601375,242,260,113.3367831,0
DH31H08,1,0.1404255319,0.2368794326,28.8,69,96,30,62.8,13,1.079861111,242,266,105.0084614,1
DH31H09,1,0.0990864371,0.1082220661,26.8,70,96,32,62.3,15,1.089552239,242,262,105.0084614,0
DH31H10,1,0.3441843453,0.4250182882,28,67,94,28.9,58.6,15,1.017857143,242,268,84.1399332,0
DH31H11,0,0.9389055472,0.09370314843,29,70,92,28.7,57.5,15,1.082758621,242,249,189.3982671,0
DH31H12,1,0.2766497462,0.1617113851,28.7,72,99,31.4,62,16,1.101045296,242,260,130.8885936,0
DH31H13,1,0.08008658009,0.1298701299,29,69,98,28.8,64.6,14,1.034482759,242,257,113.3367831,1
DH31H14,1,0.8851884312,0.2191060473,29.3,68,94,29.7,59.2,16,1.071672355,242,256,161.5504186,1
DH31H15,1,0.153425656,0.1421282799,29.8,67,95,26.5,58.3,17,1.016778523,242,265,95.9694439,0
DH31H16,0,0.5014306152,0.3547925608,28.9,67,92,25.9,55.5,16,1.010380623,242,NA,NA,0
DH31H17,1,0.08928571429,0.1473214286,28.4,69,98,30.4,61.7,16,1.154929577,242,258,137.9838,0
DI01H01,0,0.1751326763,0.2956785444,25.9,64,92,29.7,58.4,14,1.096525097,243,265,95.9694439,0
DI01H02,0,0.07313432836,0.09850746269,26.5,66,91,30,59.5,14,1.011320755,243,263,149.4931186,0
DI01H03,1,0.3443636364,0.1534545455,28.4,77,92,29.3,58.3,17,1.070422535,243,NA,NA,0
DI01H04,0,0.04710682493,0.07640949555,26.4,65,91,26.8,57.7,14,1.060606061,243,NA,NA,0
DI01H05,1,0.2030456853,0.2451051487,27.8,66,96,30.5,59.9,16,NA,243,260,105.0084614,0
DI01H06,1,0.02329075883,0.04207362885,27.2,70,101,31.2,64.9,16,1.117647059,243,261,161.5504186,0
DI01H07,1,0.03387937453,0.06180193596,28.7,69,98,29.4,64.9,14,1.090592334,243,262,84.1399332,1
DI01H08,1,0.2580758427,0.2914325843,26.7,66,96,29.4,56.7,18,1.08988764,243,265,105.0084614,0
DI01H09,0,0.4885632595,0.5868477484,25.5,66,90,26,57.3,16,1.125490196,243,267,137.9838,1
DI01H10,1,0.9669421488,0.05785123967,29.9,71,94,28.8,60.8,13,1.016722408,243,261,212.6083114,0
DI01H11,1,0.1498538012,0.230994152,27.8,70,96,30.4,61.7,15,1.061151079,243,262,130.8885936,1
DI01H12,1,0.454610951,0.5144092219,30.1,69,100,30.6,61.1,16,1.029900332,243,271,124.6896071,0
DI01H14,1,0.1045421774,0.1384282624,26.8,71,101,31.5,62.7,19,1.108208955,243,265,105.0084614,1
DI01H15,1,0.2289068232,0.327219369,30,70,99,31,64.7,14,1.106666667,243,251,113.3367831,0
DI02H01,1,0.05208333333,0.07330246914,28.8,68,98,31,62.6,16,1.017361111,244,270,130.8885936,1
DI02H02,0,0.4035460993,0.4496453901,27.2,66,95,30.7,59.3,15,1.073529412,244,260,149.4931186,0
DI02H03,1,0.2425637394,0.354815864,29.6,66,94,27.3,58.9,15,1.054054054,244,260,120.5847585,1
DI02H05,1,0.1527875794,0.1785462244,28.2,69,96,29.7,59.3,16,1.078014184,244,268,115.4441427,1
DI02H06,1,0.3443895554,0.4361326747,28.4,69,99,30,61.8,16,1.007042254,244,261,137.9838,1
DI02H07,0,0.1309691011,0.1818820225,27.8,67,93,28.2,60.6,13,0.9856115108,244,265,137.9838,1
DI02H08,0,0.101380814,0.1257267442,26.9,69,92,27.4,58.5,14,1.007434944,244,262,137.9838,0
DI02H09,1,0.09293286219,0.1067137809,27.5,68,98,30.7,56.4,19,1.08,244,257,84.1399332,0
DI02H10,1,0.08554996405,0.1049604601,29,67,91,26,60.1,14,1.003448276,244,262,105.0084614,0
DI03H01,1,0.1472045294,0.2080679406,28.3,69,97,30.1,63.1,14,1.024734982,245,262,114.4689255,0
DI03H02,0,0.1091101695,0.1433615819,27,66,93,28.3,58.3,16,1.081481481,245,265,149.4931186,0
DI03H03,1,0.9473684211,0.09581646424,26.9,67,91,25.3,58.9,14,1.074349442,245,260,187.0815975,1
DI03H04,1,0.13101983,0.1813031161,27.4,73,96,31.5,62.2,17,1.091240876,245,260,137.9838,0
DI03H05,0,0.4351198872,0.4696755994,28.9,64,91,25.6,56.1,15,1.003460208,245,268,161.5504186,0
DI03H06,1,0.09446022727,0.1022727273,28,67,96,28,64.4,14,1.025,245,260,105.0084614,1
DI03H07,1,0.2518142235,0.2757619739,29,68,97,29.8,58.8,18,1.013793103,245,261,191.8735431,0
DI03H08,0,0.2871500359,0.3933955492,25.8,65,91,29.1,58.1,14,1.19379845,245,262,161.5504186,0
DI03H09,0,0.2783882784,0.441025641,28.1,66,91,27.9,58.5,13,0.9964412811,245,262,114.4689255,0
DI03H10,1,0.2027997128,0.343862168,29.1,70,95,27.8,60.5,15,1.037800687,245,260,137.9838,1
DI03H11,1,0.1488764045,0.2050561798,27.7,68,95,28.9,62.2,15,1.079422383,245,270,137.9838,0
DI03H12,1,0.8168767507,0.3172268908,29.3,72,96,29.9,62.5,16,1.006825939,245,NA,NA,0
DI04H01,0,0.3882480173,0.5948089402,28.1,66,92,27.9,56.9,16,1.053380783,246,262,120.5847585,1
DI04H02,1,0.1092198582,0.1673758865,27,69,96,30.8,63.2,14,1.159259259,246,260,137.9838,1
DI04H03,1,0.5475177305,0.6964539007,29,72,98,28.9,60.8,17,1.034482759,246,261,189.3982671,0
DI04H04,0,0.3073916134,0.2921108742,28.3,67,92,27.2,59.8,14,1.03180212,246,260,130.8885936,0
DI04H05,1,0.7804964539,0.3936170213,29.1,70,92,27.9,61,14,1.010309278,246,254,193.5552107,0
DI04H07,0,0.08233215548,0.1109540636,26.6,69,93,28.8,58.9,16,1.127819549,246,260,105.0084614,0
EH25H01,0,0.2484143763,0.3981677237,28.6,65,93,27.6,53.3,18,1.076923077,236,NA,NA,1
EH25H02,1,0.4949820789,0.3691756272,28.5,69,96,30.1,58.7,18,1.094736842,236,257,149.4931186,0
EH25H03,1,0.8670120898,0.2625215889,29.5,70,97,29.9,60.3,17,1.06779661,236,NA,NA,1
EH25H04,1,0.168575519,0.211166786,27,69,99,32.2,64.4,13,1.133333333,236,253,189.3982671,1
EH25H05,1,0.1327845383,0.1438797423,26.8,71,99,NA,63.3,16,1.093283582,236,NA,NA,0
EH25H06,1,0.07967422096,0.1253541076,27.2,70,95,29.3,62.4,14,1.091911765,236,255,117.1075716,0
EH25H07,1,0.1994219653,0.289017341,27.9,71,96,31.8,61.9,14,NA,236,244,189.3982671,1
EH25H08,0,0.8900069396,0.1505898681,29.7,70,92,29.9,55,16,1.087542088,236,244,191.8735431,0
EH25H09,0,0.0881294964,0.1330935252,27,70,92,26.3,59.2,15,1.088888889,236,249,137.9838,0
EH25H10,1,0.7196969697,0.4356060606,28,71,96,30,60.4,15,1.089285714,236,NA,NA,0
EH25H11,1,0.5644194757,0.6584269663,29.8,73,98,30.8,62.8,15,1.036912752,236,NA,NA,0
EH25H12,1,0.112056213,0.1235207101,28.4,72,96,30.5,60.3,16,1.059859155,236,257,105.0084614,1
EH25H13,1,0.12275018,0.1936645068,27.4,71,NA,NA,NA,14,1.131386861,236,248,84.1399332,1
EH25H14,1,0.3142235123,0.4412191582,29.3,69,96,29.2,58.2,17,1.013651877,236,253,124.6896071,1
EH25H15,1,0.5407876231,0.5260196906,29.2,69,96,30.1,59.9,15,0.9349315068,236,252,179.856459,0
EH25H16,1,0.1097472924,0.1689530686,30.3,72,96,30.4,60.7,12,1.04290429,236,257,179.856459,0
EH25H17,0,0.4910931174,0.7295546559,28.8,70,97,31.5,60.1,17,1,236,250,176.960023,0
EH25H18,1,0.5447308567,0.6967399545,29.6,72,96,30.8,59.2,17,1.10472973,236,252,188.3528213,0
EH25H19,1,0.2153954802,0.3262711864,29,68,97,30,60.1,16,1.05862069,236,259,84.1399332,0
EH25H20,1,0.1351640514,0.167617689,30.1,70,97,29.7,59,16,1.043189369,236,257,124.6896071,0
EH25H21,1,0.7876969242,0.3570892723,30.3,74,100,29.4,63.2,16,1.00330033,236,256,170.4841182,0
EH25H22,0,0.08154506438,0.1144492132,27.7,68,93,28.2,60,15,1.220216606,236,NA,NA,1
EH26H15,1,0.1383357041,0.2098150782,NA,71,97,30.3,60.3,15,NA,237,253,179.856459,0
EH26H16,1,0.08309248555,0.1213872832,28.3,69,96,30.4,58.8,16,1.106007067,237,251,124.6896071,0
EH27H19,1,0.1164095372,0.1472650771,28.8,64,95,27.9,60.6,14,1.111111111,238,262,105.0084614,0
EH28H01,1,0.1863507779,0.1987270156,29.5,70,100,32.3,59.7,17,1.077966102,239,266,105.0084614,0
EH28H02,0,0.1885714286,0.2828571429,25.9,69,94,26.4,61,14,1.073359073,239,NA,NA,0
EH28H03,1,0.123659757,0.1501072194,27.9,65,92,28.7,60.4,14,1.132616487,239,255,105.0084614,1
EH28H04,1,0.2550359712,0.4007194245,30.5,69,94,30.6,60.1,16,1.045901639,239,257,84.1399332,0
EH28H06,0,0.3010526316,0.4070175439,27.6,68,91,28.7,57,15,1.043478261,239,NA,NA,0
EH28H07,1,0.1397006415,0.1910192445,26.9,68,98,30.6,62.7,14,1.141263941,239,NA,NA,0
EH28H08,1,0.1740528949,0.2037169407,28.8,71,100,31.4,63.8,15,1.114583333,239,257,70.54108052,0
EH28H09,1,0.1047585227,0.1356534091,28.4,71,96,32.9,61.5,15,1.098591549,239,259,113.3367831,0
EH28H10,1,0.3231114435,0.50710546,27.5,71,99,31.2,63.1,15,1.08,239,257,137.9838,0
EH28H11,1,0.3373715125,0.4882525698,28,68,94,28.8,58.7,15,1.260714286,239,250,137.9838,1
EH28H12,1,0.06281588448,0.09819494585,27.1,68,96,29.9,60.8,15,1.132841328,239,257,113.3367831,1
EH28H13,1,0.1491166078,0.2204946996,29.5,70,99,31,61.3,16,1.044067797,239,NA,NA,0
EH28H14,0,0.1172581768,0.1510090466,28.3,66,94,30.7,56.1,17,1.017667845,239,257,76.75789545,1
EH28H16,1,0.06694560669,0.1032078103,28.1,69,96,30,60.4,17,1.117437722,239,NA,NA,0
EH28H17,1,0.2627840909,0.3579545455,28,70,95,30,63.5,12,1.05,239,NA,NA,0
EH28H19,0,0.5941438102,0.7079318013,30.9,71,95,29.4,60.9,15,1.067961165,239,262,191.8735431,0
EH28H20,1,0.265918958,0.4088277858,30.8,72,99,30.6,62.3,17,0.9902597403,239,256,95.9694439,0
EH28H21,1,0.6978442281,0.2315716273,29,71,92,28.9,58.2,15,1.05862069,239,259,193.5552107,0
EH28H22,0,0.8598615917,0.2235294118,27.4,69,90,27.6,58.8,14,1.072992701,239,258,212.6083114,0
EH28H23,0,0.2240282686,0.3335689046,26.3,62,88,27.9,56.4,14,0.9505703422,239,NA,NA,0
EH28H24,1,0.5084626234,0.5782792666,28.9,76,100,30.9,62.4,17,1.14532872,239,NA,NA,0
EH28H25,1,0.5091549296,0.4098591549,28,66,90,26.2,58.8,12,0.9857142857,239,251,193.5552107,0
EH28H26,1,0.1674911661,0.251590106,28.9,68,95,27.3,60.5,14,1.058823529,239,256,113.3367831,0
EH28H27,0,0.1533333333,0.2378947368,26.1,70,91,27.8,57.3,16,1.072796935,239,NA,NA,1
EH28H28,0,0.3656609195,0.5459770115,25,65,90,26.1,56,16,1.112,239,257,113.3367831,0
EH28H29,1,0.256401138,0.3392603129,27.9,68,98,31.9,60.2,16,1.23297491,239,257,149.4931186,0
EH28H30,1,0.2076086957,0.1992753623,28.9,71,98,30.9,58.5,17,1.103806228,239,262,137.9838,0
EH28H32,1,0.2395906845,0.3860268172,28.4,69,98,30.7,62.6,16,1.042253521,239,257,115.4441427,0
EH28H33,1,0.1990707648,0.3238027162,26.9,68,91,28.7,57,15,1.12267658,239,257,113.3367831,1
EH28H34,0,0.5173144876,0.228975265,26.3,66,91,28.5,56.8,13,1.079847909,239,259,84.1399332,1
EH29H01,0,0.3793352601,0.4869942197,28.3,68,96,32.6,59.1,16,1.035335689,240,257,179.856459,0
EH29H02,0,0.06128334535,0.09372746936,26.7,65,93,31,58.1,16,1.183520599,240,257,114.4689255,1
EH29H03,1,0.3060070671,0.3745583039,28.3,69,90,25.4,57,16,1.053003534,240,257,130.8885936,0
EH29H04,0,0.2959183673,0.4412385644,27,67,92,29,56.8,15,1.062962963,240,NA,NA,1
EH29H05,0,0.7334017796,0.4387405886,25.4,64,90,27.5,53.8,15,1.149606299,240,250,193.5552107,0
EH29H06,1,0.08025568182,0.1164772727,28.1,67,96,30.4,57.7,16,1.049822064,240,NA,NA,1
EH29H07,0,0.1507042254,0.1830985915,28.9,69,96,30.6,61.6,14,1.179930796,240,251,130.8885936,1
EH29H08,0,0.7833217027,0.3524075366,28.5,71,93,28.5,57.5,16,NA,240,252,189.3982671,0
EH29H09,0,0.09799713877,0.1416309013,25.9,69,91,29.9,58.9,15,1.042471042,240,257,84.1399332,1
EH29H10,0,0.1850421348,0.2759831461,27.2,68,92,28,58.9,15,1.047794118,240,NA,NA,0
EH29H11,1,0.5234549516,0.8145941921,27.7,69,97,30.5,60.8,14,1.064981949,240,262,149.4931186,1
EH29H12,1,0.3229531141,0.4611616515,28.6,72,96,28.4,61.9,15,1.06993007,240,255,113.3367831,0
EH29H13,1,0.4355955679,0.4210526316,28.4,71,96,29.6,60,15,1.042253521,240,251,179.856459,0
EH29H14,0,0.2919014085,0.2669014085,27.4,68,93,29.8,54.3,17,1.003649635,240,NA,NA,0
EH29H15,1,0.09045584046,0.1239316239,28.7,69,99,32,58.3,19,1.216027875,240,NA,NA,1
EH29H16,1,0.09957020057,0.1575931232,27.7,68,95,30.6,56.9,18,1.068592058,240,262,70.54108052,0
EH29H17,0,0.09577677225,0.1221719457,27.5,63,89,27.7,55,14,0.9163636364,240,262,193.5552107,0
EH29H18,0,0.2757731959,0.5,30.3,69,95,31.5,57.9,16,1.04290429,240,261,189.3982671,0
EH29H19,1,0.2159763314,0.2692307692,27.4,70,97,31.9,61.7,15,1.091240876,240,NA,NA,0
EH29H20,1,0.3701201201,0.6771771772,26.6,69,95,30.9,59.3,15,1.078947368,240,255,189.3982671,1
EH29H22,1,0.1342257598,0.1714905933,28.6,73,99,27.8,59.4,16,1.283216783,240,273,137.9838,1
EH29H23,1,0.8227459016,0.2397540984,28.7,70,98,30,58.3,17,1.090592334,240,251,193.5552107,1
EH29H24,1,0.1108374384,0.1738212526,27.6,71,97,31,63.9,13,1.065217391,240,257,137.9838,0
EH29H25,0,0.1057553957,0.1510791367,26.4,65,90,NA,56.9,14,0.8068181818,240,257,124.6896071,1
EH29H26,1,0.1519434629,0.2035335689,27.7,69,96,31,59.6,16,1.101083032,240,252,137.9838,0
EH29H27,1,0.2944483486,0.3851018974,28.4,74,101,33,61.8,19,1.066901408,240,257,137.9838,0
EH29H28,0,0.3972318339,0.5356401384,28.4,65,94,29.5,57.2,15,1.161971831,240,257,113.3367831,0
EH30H22,1,0.3932905068,0.5438972163,28.3,68,96,32.1,59.4,15,1.042402827,241,265,137.9838,0
EH30H24,1,0.1150317572,0.1764290755,28.9,70,99,32.4,58.7,18,1.134948097,241,NA,NA,0
EH31H01,0,0.2098245614,0.1936842105,26.7,66,93,30,56.6,16,1.063670412,242,257,84.1399332,1
EH31H02,1,0.1503521127,0.1809859155,26.8,68,97,31.9,62.3,15,1.082089552,242,264,137.9838,0
EH31H03,1,0.2517241379,0.3710344828,28,68,94,27.8,59.1,14,1.082142857,242,273,137.9838,0
EH31H07,0,0.111977321,0.1105598866,28.8,66,95,28.3,59.3,16,0.9722222222,242,276,137.9838,0
EH31H08,0,0.2889747191,0.4122191011,26.7,69,93,28.4,60.8,14,1.108614232,242,257,120.5847585,1
EH31H09,0,0.2328216374,0.389619883,28.2,69,94,29,57.8,16,1.024822695,242,257,161.5504186,0